File,Time,Latitude,Longitude,Altitude,ENL,terrain_elev_at_first_engine_event (ft),dynamic_AGL_at_first_engine_event (ft),Terrain_EPQS,Terrain_DIFF
25C_JonathanLeal.igc,170609,35.225316666666664,-84.5857,186,2,757.53,-98.08,761.543057997986,-4.013057997986039
35MVQ8L1.igc,221639,40.1412,-77.86055,587,6,1221.62,864.99,1176.0064248566139,45.613575143386015
08JVACN1.igc,182111,29.215883333333334,-99.74706666666667,279,2,936.59,-67.16,938.1233976085304,-1.533397608530322
2021-06-28-LXV-59J-01.igc,235312,39.74218333333334,-111.91151666666667,2082,21,5153.18,1880.94,5152.004536967158,1.1754630328423445
339VJBN1.igc,190111,28.403066666666668,-81.83273333333334,996,10,139.01,3394.45,108.51502452891111,30.49497547108888
172VAAW3.igc,201726,39.74393333333333,-111.87008333333333,1460,15,4988.52,-57.41,4990.252957371817,-1.7329573718161555
985VA971.igc,184806,29.216683333333332,-99.74645,284,2,938.31,0.01,939.5668750956667,-1.2568750956667145
13DVEOY1.igc,173926,28.4047,-81.8377,-73,0,112.4,-89.44,112.72097870549639,-0.32097870549638685
43JVABZ1.igc,180320,28.43795,-81.80141666666667,773,8,116.26,2554.34,116.08878830145527,0.17121169854473806
176VACN1.igc,184710,39.73493333333333,-111.8701,1452,15,5005.41,-48.06,5009.032081837578,-3.6220818375777526
53HV1OL1.igc,172903,28.404983333333334,-81.8378,2,0,112.58,2.25,113.0725991891892,-0.49259918918920675
94MV7R11.igc,210017,33.385733333333334,-81.3639,186,2,324.72,482.36,325.2141160466152,-0.4941160466151473
08LVACN1.igc,190212,29.215683333333335,-99.74695,304,2,935.56,-79.26,937.8281340262473,-2.268134026247367
839V7H21.igc,191653,28.251033333333332,-81.723,122,2,146.43,532.71,131.1119126535863,15.318087346413705
38PVAQD1.igc,181804,29.2168,-99.7465,259,2,937.06,-80.76,939.8621386812305,-2.802138681230531
38FVAQD1.igc,173325,29.213716666666667,-99.74485,226,2,932.75,-76.45,933.3989799999999,-0.6489799999999377
83EV6TG1.igc,172722,28.404933333333332,-81.83783333333334,-30,0,112.58,-1.03,112.95545494003377,-0.37545494003377655
36ez5ay2.igc,161742,39.47708333333333,-84.09638333333334,237,2,923.49,21.39,925.8131388550222,-2.3231388550221936
53FV1OL1.igc,172419,28.408,-81.83743333333334,-25,0,117.13,7.54,116.34444060950491,0.7855593904950808
365VAUO1.igc,174415,32.008633333333336,-83.79686666666667,459,4,319.26,1229.3,315.0724777168334,4.187522283166572
99FV1KO1.igc,201243,37.4884,-80.1018,626,7,1295.45,1063.47,1268.1245583851028,27.325441614897272
45LV7EO1.igc,165322,39.47683333333333,-84.09076666666667,252,2,935.85,-109.07,936.2725184515332,-0.4225184515331648
96RV7R11.igc,225156,32.79635,-102.64165,1212,12,3345.43,899.97,3345.0955237359667,0.33447626403312825
1A2V7GT1.igc,171052,39.75885,-77.3532,80,1,555.63,-109.44,558.5323222103041,-2.902322210304078
13EVAGO2.igc,170615,28.40351666666667,-81.83771666666667,-45,0,110.56,-87.59,111.38784960115649,-0.8278496011564869
456VJBN1.igc,165737,34.59415,-80.44063333333334,536,5,480.79,1333.52,480.72641264046257,0.06358735953745054
96GV2OE2.igc,202141,32.76795,-103.27043333333333,2054,21,3746.77,3284.07,3747.588750657744,-0.8187506577442036
16FVABZ1.igc,190551,41.77305,-122.47035,709,7,2628.32,-69.27,2638.886303378086,-10.56630337808565
2021-05-17-NAV-464-01.igc,170500,43.67111666666667,-93.3648,426,4,1243.72,229.38,1246.5070387464918,-2.7870387464918167
35GVABC1.igc,210143,40.64505,-77.57631666666667,528,4,555.61,855.15,546.8968443773389,8.713155622661134
16TVAAW1.igc,190154,39.7327,-111.87006666666667,1470,15,5009.35,-45.44,5013.001369585986,-3.651369585985776
26AVA9T1.igc,163512,41.562333333333335,-74.48066666666666,796,7,614.7,1898.42,548.1717142409694,66.52828575903061
56FV1JE1.igc,204033,47.30885,-119.52173333333333,382,3,1254.92,-18.04,1259.7711720941722,-4.8511720941721705
17VVAEQ1.igc,171031,30.20085,-95.96295,46,0,289.84,-92.99,291.5140680784499,-1.6740680784499204
84UV7RZ1.igc,201402,28.40325,-81.83775,-38,0,110.43,4.4,111.35562241836668,-0.9256224183666717
33BVAGO1.igc,183920,28.403883333333333,-81.83773333333333,24,0,111.78,-101.94,111.46983806178535,0.3101619382146481
572V1IB1.igc,212938,32.79915,-103.17083333333333,2525,26,3682.02,5127.04,3682.973984554639,-0.9539845546391916
13HV6PG1.igc,192234,28.642533333333333,-81.88756666666667,142,1,145.54,320.34,106.06250451604727,39.47749548395272
23DVABC1.igc,193038,28.416716666666666,-81.82871666666666,183,2,140.53,771.55,110.58798966086279,29.942010339137212
361V6WG1.igc,182855,32.431333333333335,-111.3861,629,5,2046.57,-107.59,2048.3759536812304,-1.8059536812304486
08KVAAW1.igc,181046,29.2149,-99.74656666666667,298,2,935.42,-75.84,936.0891927074779,-0.6691927074779187
83EV7CD1.igc,194951,28.322466666666667,-81.7876,76,1,127.39,348.33,119.39413347612397,7.995866523876032
38M0JEN1.igc,195920,34.982283333333335,-106.00428333333333,1798,18,6191.81,25.38,6194.3708985249805,-2.5608985249800753
46BV7SK1.igc,185609,38.998266666666666,-119.74878333333334,1382,14,4709.1,-76.56,4713.5358101015145,-4.435810101514107
83BV7RZ1.igc,190754,28.586983333333333,-82.07225,199,1,79.75,553.45,80.63406088409565,-0.8840608840956463
339V7CD1.igc,165732,28.405466666666666,-81.83788333333334,-58,0,112.0,-72.63,112.79414380298203,-0.7941438029820347
2023-08-14-NAV-6OD-01.igc,212828,29.19098333333333,-99.73188333333333,951,11,914.6,2887.9,911.4501523914696,3.149847608530422
63CVJZT1.igc,182612,28.408833333333334,-81.83746666666667,-28,0,115.89,-1.06,116.10659773115903,-0.2165977311590268
43JVABC1.igc,174940,28.448566666666668,-81.83016666666667,613,6,124.81,2007.74,117.606081683342,7.2039183166580045
43EV1OL1.igc,164807,28.404516666666666,-81.83773333333333,-64,0,112.4,25.39,112.42294921433216,-0.022949214332157908
165VAGO1.igc,170943,31.9871,-83.77908333333333,42,0,301.64,-81.82,305.3018963018126,-3.6618963018125896
36ug8nh1.igc,204448,47.3119,-119.5179,342,3,1254.92,-57.41,1258.2124527004612,-3.2924527004611264
984VA971.igc,193449,29.216666666666665,-99.74641666666666,283,2,938.31,-16.39,939.5012943422557,-1.1912943422557873
08GVAAW2.igc,185524,29.215716666666665,-99.74693333333333,247,2,935.56,-79.26,937.5656107566916,-2.0056107566916808
35NV7SY1.igc,214141,40.80468333333334,-77.6613,626,7,1176.59,1126.56,1176.3480455269946,0.2419544730053076
56RVEOD1.igc,183851,32.77008333333333,-103.20413333333333,1729,18,3688.4,2495.98,3692.9843111905857,-4.584311190585595
43DV66G1.igc,191204,28.44645,-81.86816666666667,410,4,120.32,1411.84,104.18673846192827,16.13326153807172
75EV6XB1.igc,192244,43.67491666666667,-93.3769,730,7,1212.27,1110.56,1214.0092211940944,-1.739221194094398
95GV7H22.igc,192427,43.67563333333333,-93.36703333333334,410,3,1257.83,-1.27,1258.7223806203224,-0.8923806203224558
43PVAP11.igc,213451,28.51096666666667,-81.92445,360,3,97.29,1123.18,97.85314557552628,-0.5631455755262778
13CVAAW1.igc,173837,28.4033,-81.83785,-98,0,110.43,-87.47,111.43277993067825,-1.0027799306782441
376v1i31.igc,213337,47.31283333333333,-119.51648333333333,410,3,1256.56,3.28,1260.4354901305223,-3.875490130522394
174c48r6.igc,165301,41.576,-74.446,813,8,967.12,1801.91,941.7470597586083,25.37294024139169
38KV7SK1.igc,181811,29.214,-99.74608333333333,255,2,933.04,-80.03,934.3504516347778,-1.3104516347777917
851V7CD1.igc,211347,28.251066666666667,-82.1501,94,1,88.57,528.23,85.7327393576208,2.837260642379192
183VAGO1.igc,184609,30.194266666666667,-95.96361666666667,73,0,307.68,-91.15,310.14553571862007,-2.4655357186200604
14IV1WZ7.igc,203624,33.6163,-81.34206666666667,469,3,410.15,892.34,383.4012422065034,26.748757793496566
26oc4ky1.igc,162725,41.58515,-74.446,735,7,1125.74,1439.88,1083.4249207358691,42.31507926413087
373v1i31.igc,211638,47.31268333333333,-119.51648333333333,382,3,1256.56,-6.56,1260.339171525078,-3.779171525078027
16AVAGO1.igc,173659,31.99305,-83.7709,49,0,300.3,-87.05,304.40379038068477,-4.103790380684757
16LVAHZ143.igc,203016,41.773183333333336,-122.47018333333334,814,7,2630.67,-94.59,2639.682483787422,-9.012483787421843
16DVAHZ2.igc,200937,41.790333333333336,-122.46581666666667,819,7,2644.63,-79.01,2652.7677969390916,-8.137796939091459
2023-08-02-XNA-150763-02.igc,192405,30.310166666666667,-96.01145,361,3,310.99,981.66,311.0403626009291,-0.05036260092907696
43PV7H31.igc,212612,28.64555,-81.89116666666666,261,2,85.3,856.3,91.22749305051329,-5.9274930505132915
63BVJZT1.igc,184811,28.408083333333334,-81.8377,-43,0,116.68,1.43,117.48396881526115,-0.8039688152611433
36UVAP11.igc,203402,47.31268333333333,-119.51651666666666,367,3,1256.56,-68.9,1260.273490643711,-3.7134906437111113
64IV7TG1.igc,175843,33.62756666666667,-81.33708333333334,18,1,419.04,-2.37,419.9806107490904,-0.9406107490903537
73HV7DX3.igc,175811,28.404016666666667,-81.83781666666667,-119,0,110.97,-19.1,111.48438096907488,-0.5143809690748782
187VAGO1.igc,175622,30.202733333333335,-95.96295,47,0,288.04,-87.91,287.92692590329386,0.11307409670615698
376g8nh1.igc,212534,47.3124,-119.51728333333334,391,3,1256.56,-82.02,1258.870763338325,-2.3107633383251596
13FVEOY1.igc,173142,28.409233333333333,-81.83756666666666,-36,0,115.82,-83.01,115.93375990082507,-0.11375990082507315
18GV7H21.igc,174857,29.216683333333332,-99.7464,249,2,936.81,-87.07,939.4685540262473,-2.658554026247316
35MV7H21.igc,182154,43.685516666666665,-93.36983333333333,310,3,1252.21,-123.61,1255.7327992746557,-3.522799274655654
572x20f1.igc,210813,32.772016666666666,-103.21518333333333,1111,11,3692.59,-63.98,3698.3252880281643,-5.735288028164177
18FV7H21.igc,175901,29.2153,-99.74673333333334,223,2,936.57,-73.71,937.0079240262473,-0.43792402624728766
04KC4A41.igc,171656,33.68866666666667,-81.3935,1129,11,501.05,3317.84,498.47376658764296,2.5762334123570554
56KV1JE2.igc,204306,47.31288333333333,-119.5164,368,3,1256.56,-3.28,1260.7090269601417,-4.149026960141782
2022-03-17-NAV-8RQ-01.igc,184548,28.467533333333332,-81.6971,271,2,119.97,778.98,119.23477474399036,0.7352252560096417
2018-03-09-NAV-8J3-01.igc,184615,28.429833333333335,-81.82953333333333,525,5,116.03,1806.54,110.786233778099,5.243766221900998
94LV7CD1.igc,174827,33.63013333333333,-81.32631666666667,66,1,422.42,-25.44,426.6220389504612,-4.202038950461201
781V20M3.igc,173456,29.215066666666665,-99.74558333333333,239,2,934.61,-12.69,936.0236119507862,-1.4136119507861622
56FV77I1.igc,202552,47.30903333333333,-119.52148333333334,391,3,1254.92,-21.33,1259.592652265625,-4.672652265624947
467V7SK1.igc,183922,38.99825,-119.74888333333334,1405,14,4708.13,-52.62,4713.685995037422,-5.555995037421781
16RVAAW1.igc,202300,39.72958333333333,-111.87006666666667,1457,15,5016.4,-55.77,5018.987140414014,-2.587140414014357
38EV7801.igc,213050,29.220033333333333,-99.7339,838,8,953.5,1900.83,953.54328553635,-0.04328553635002663
