,File,Model,All_Min_TAS_knots,All_Max_TAS_knots,All_Avg_TAS_knots,All_Post_Run_Min_TAS_knots,All_Post_Run_Max_TAS_knots,All_Post_Run_Avg_TAS_knots,Circling_Segment_Found,Min_Speed_While_Engine_Running_knots,Max_Speed_While_Engine_Running_knots,Avg_Speed_While_Engine_Running_knots
178,46NV8J41.igc,VENTUS 3T,52.9,76.8,68.7,45.0,77.5,60.2,True,57.24,68.88,62.56
179,467V8KR1.igc,ASW 27-18 E (ASG-29E),47.6,68.1,52.2,45.5,77.6,61.3,True,55.43,80.94,70.58
180,339V8KR1.igc,ASW 27-18 E (ASG-29E),51.9,74.5,56.9,45.7,78.3,67.0,True,52.88,84.92,77.57
181,94OV83L1.igc,ASW 27-18 E (ASG-29E),62.2,87.6,77.5,74.4,94.9,88.0,True,36.61,90.71,66.85
182,339V83L1.igc,ASW 27-18 E (ASG-29E),47.1,54.7,50.6,49.6,81.1,62.0,True,63.95,80.89,70.55
183,2021-07-04-LXV-59J-01.igc,LS 10-ST,45.0,89.0,54.9,45.2,89.4,73.0,True,,,
184,38EVAKJ1.igc,AS 33ES,50.1,72.0,58.9,48.5,73.8,64.3,True,53.45,78.39,67.66
185,17UVAIK1.igc,VENTUS 3F,45.6,60.5,52.7,45.0,67.2,53.8,True,41.85,54.08,48.41
186,2024-03-20-NAV-170863-01.igc,DUO DISCUS T,58.1,64.9,60.9,46.5,61.7,56.4,True,,,
187,03FV83L1.igc,ASW 27-18 E (ASG-29E),54.0,68.3,56.6,49.5,74.3,63.3,False,66.75,85.58,77.72
188,33BVJBN1.igc,LS 10-ST,"59.7,61.5","72.1,78.7","61.8,66.4","46.3,46.7","73.5,94.8","57.4,83.4",False,"53.67,47.49","89.49,85.32","62.25,53.47"
189,43PVALM1.igc,AS 33ES,45.1,73.6,56.3,46.9,62.2,52.8,True,42.73,85.82,71.99
190,46PV8KR1.igc,ASW 27-18 E (ASG-29E),63.1,90.2,70.6,70.5,93.8,80.6,True,50.96,91.57,77.58
191,2021-06-28-LXV-59J-01.igc,LS 10-ST,48.5,90.0,61.6,90.6,94.5,92.5,True,,,
192,339VJBN1.igc,LS 10-ST,"47.3,48.9","76.8,60.0","56.0,53.7","48.6,45.6","79.6,71.7","61.1,59.2",True,"51.54,46.93","98.03,92.48","62.65,55.27"
193,94MV7R11.igc,ASW 27-18 E (ASG-29E),51.9,67.5,60.1,50.7,93.6,77.7,True,45.50,82.62,67.21
194,99FV1KO1.igc,VENTUS 3F,52.5,66.9,56.6,45.2,72.0,61.5,True,,,
195,96RV7R11.igc,ASW 27-18 E (ASG-29E),55.0,73.9,63.8,55.3,94.5,86.2,True,58.56,84.25,70.54
196,456VJBN1.igc,LS 10-ST,45.3,54.0,49.6,45.3,94.7,74.3,True,,,
197,96GV2OE2.igc,VENTUS 3T,57.8,73.4,65.7,53.7,76.6,66.2,True,,,
198,2023-08-14-NAV-6OD-01.igc,LS 10-ST,62.0,89.2,70.1,45.4,79.9,64.7,True,,,
199,174c48r6.igc,DISCUS-2CT,"50.3,45.0","94.4,94.6","69.8,64.8",46.4,81.1,62.8,True,,,
200,14IV1WZ7.igc,ASW 27-18 E (ASG-29E),45.8,79.3,60.4,47.0,94.8,71.3,True,,,
201,26oc4ky1.igc,ASW-24E,"59.2,61.5,62.1,61.9,66.3,56.5,62.0,62.7,60.2,62.3,68.5,63.2,65.3","74.0,75.8,72.8,75.8,85.8,71.0,72.5,76.7,69.6,70.5,82.6,74.6,73.3","63.7,67.4,66.3,69.1,74.9,65.2,66.6,68.6,65.3,66.5,77.3,68.4,69.0","57.2,60.1,61.3,58.2,59.9,60.8,59.5,62.2,59.8,64.1,62.1,62.1,62.1","65.3,69.8,82.8,84.6,86.1,76.6,89.8,82.6,73.9,84.4,82.5,82.5,86.5","62.0,65.7,72.2,66.2,78.0,71.7,76.4,72.0,66.2,77.7,73.1,72.9,75.3",False,,,
202,36AV8KR1.igc,ASW 27-18 E (ASG-29E),48.0,74.7,54.3,48.8,94.8,70.8,True,61.72,80.12,69.91
203,35JVNBR1.igc,VENTUS 3F,60.2,82.2,69.9,73.7,94.7,85.2,True,54.03,76.32,62.39
204,184VAIK1.igc,VENTUS 3F,"51.9,60.2,59.0,53.7,53.7","70.9,67.9,68.5,64.5,68.0","61.1,62.8,62.6,58.2,61.6","45.3,45.3,45.3,45.1,45.3","73.1,78.1,78.1,73.1,73.9","62.3,62.0,62.2,61.4,63.3",True,"40.44,46.33,45.44,44.35,45.16","53.28,55.04,53.16,54.73,59.63","46.55,49.09,50.40,48.49,51.02"
205,23IVAIK1.igc,VENTUS 3F,45.2,86.3,62.4,45.0,85.8,65.9,True,46.21,59.39,53.92
206,94OV7R11.igc,ASW 27-18 E (ASG-29E),45.5,65.1,57.5,58.7,87.7,78.1,True,46.21,82.44,70.22
207,462V8KR1.igc,ASW 27-18 E (ASG-29E),60.3,73.0,63.5,49.0,70.5,60.0,True,53.56,80.79,71.74
208,461VAKJ1.igc,AS 33ES,53.2,73.3,62.2,45.4,81.0,63.7,False,65.79,86.90,76.90
209,38ev8mv1.igc,LS 10-ST,45.4,92.2,53.0,49.1,82.9,73.4,True,46.66,101.53,52.71
210,187VAIK1.igc,VENTUS 3F,46.4,90.5,65.5,46.6,94.9,77.4,True,43.14,74.96,55.48
211,468V8KR1.igc,ASW 27-18 E (ASG-29E),58.9,69.3,62.5,55.3,93.3,79.4,True,48.62,79.78,71.90
212,44QV8KR1.igc,ASW 27-18 E (ASG-29E),46.6,75.4,59.0,45.2,73.2,58.6,True,52.97,84.56,69.64
213,2024-03-19-NAV-170863-01.igc,DUO DISCUS T,46.7,54.5,52.5,45.6,76.9,63.2,True,,,
214,178V7R12.igc,ASW 27-18 E (ASG-29E),56.7,92.1,73.4,50.9,79.8,64.9,False,61.15,93.75,73.66
215,46PVAYE1.igc,AS 33ES,47.5,76.0,63.5,47.9,94.7,75.5,True,47.79,81.12,73.15
216,33HV8KR1.igc,ASW 27-18 E (ASG-29E),47.3,57.9,53.5,46.0,94.6,74.7,True,62.44,86.53,73.07
217,46IV8KR1.igc,ASW 27-18 E (ASG-29E),48.5,70.6,53.5,46.0,90.0,71.5,True,57.34,75.08,66.42
218,44QV83L1.igc,ASW 27-18 E (ASG-29E),46.3,64.3,56.1,45.5,65.6,57.6,False,67.01,81.86,70.85
219,18D_JP.igc,SZD-56-3 DIANA-2 FES,70.2,74.1,72.5,46.9,74.9,62.4,True,,,
220,4536-9239003575.igc,AS 33ES,56.2,68.7,62.2,54.8,87.0,74.2,False,68.73,89.65,73.27
221,4536-9239003255.igc,AS 33ES,52.0,63.4,56.1,52.5,84.4,64.8,False,67.21,96.74,74.28
